ItemName,ItemCode,Quantity
Refrigerator Samsung 192 Ltr.,E01101,2
Flood Light LED 150 Watt ,E01102,8
Boom Barrier,E01103,2
Half Height Turnstile (Tripod),E01104,2
Bullter Camera (IP Camera),E01105,101
"Video Wall Panel 55""",E01106,4
Dome Camera,E01107,15
Floor Mounting Stabliser 4KVA,E02001,10
Voltage Stabiliser Electrotech 4 KVA,E02002,0
Voltage Stabiliser SeIcon 4 KVA,E02003,13
Voltage Stabliser 3KVA wall mountable,E02004,9
Servo Stablizer,E02005,2
"20""Television LG",E03001,14
Colour Television LG 244GP4,E03002,1
Flat Television LG 29FGERGE,E03003,1
Television LG RT-29CA4OVE,E03004,1
Television-BT 21M80 Sony,E03005,1
Television LG 85VE,E03006,1
Plasma TV,E03007,5
"Samsung LCD 42""",E03008,2
Sony LCD Bravia,E03009,1
"LED TV 48""",E03010,2
"LED TV 43""",E03011,2
"LFD TV 55"" / Professional Display",E03012,10
"LED TV 32""",E03013,2
4 Drawer filing cabinet,F01003,8
4 drawer book case,F01004,6
Almirah Steel big,F01006,272
Almirah Steel small,F01007,22
Back Cvedenza,F01011,109
Bed with matress,F01015,1973
Book Shelf Open type with dotted frame,F01020,64
Book Storage,F01024,24
Center Table,F01026,16
Center Table VIP,F01027,6
Green Board,F01030,29
Visitors Chair,F01032,493
Chair Director,F01033,2
Chair Visitors Standard PCH 7102,F01036,12
Chair with writing board,F01037,35
Classroom chair,F01039,1432
Computer Chair without arms PCH 4103,F01040,381
Computer Table,F01041,2059
Chair Revolving Visitors PCH 7103,F01042,561
Dining Table (Mess),F01054,108
Chairs (Mess),F01055,835
Double bed,F01058,10
Bed Side Table,F01059,22
Wooden easy chair,F01060,28
Printer & Fax Table,F01061,2
Book Storage Standard,F01063,17
Lounge Overhead Cabinet,F01065,12
Faculty Member side table,F01068,96
Regular Faculty Side Table,F01072,17
Wooden LED LCD PLASMA Tv Stand ,F01073,1
"Godrej 1"" impression reception module with 3 arch & drawer",F01075,1
Godrej Evita side table,F01076,8
Godrej Evita single bed,F01077,14
Godrej Jefferson Presidential suit,F01078,1
Godrej study table Stylo,F01082,14
Iron Bed / Metal Palang,F01094,12
Iron Study Table / Metal Study Table,F01095,12
Kitchen overhead cabinet,F01096,55
Ladder 10 steps,F01100,1
Ladder 20 steps,F01101,1
Library Book Stack,F01102,28
Library table,F01104,41
Rocking Chair,F01105,2
Metal Single seat with full desklet,F01108,147
Revolving Lab Stool,F01109,49
Metal Double seat with full desklet,F01110,48
Metal Triple seat with full desklet,F01111,69
Newspaper reading Stand,F01115,16
Notice Board,F01116,50
Steel Office Table,F01117,15
Wooden cupboard,F01118,1644
Office table,F01122,130
Pin up board,F01125,2054
Reception counter,F01130,1
Revolving Executive Chair,F01131,187
Sofa cum bed,F01140,1
Sofa set,F01141,58
Godrej Glass Door Storage Unit,F01144,120
Wooden stool,F01146,403
Wooden Storage Cabinet,F01147,74
2 Drawer filing cabinet,F01149,0
Study Chair PCH1007,F01150,2512
Teak wood table,F01155,12
Regular Faculty Member Table,F01157,12
Horizontal Blinds,F01162,111
Vertical Blind,F01163,134
White board,F01173,147
Wooden Catalouge card cabinet 24 drawer,F01179,1
Conference Table,F01182,5
Corner Table,F01183,7
Wooden Dewan,F01186,1
Wooden Dining Chair,F01187,33
Wooden Dining table,F01189,12
Wooden Discussion Table,F01190,11
Wooden Dressing Table,F01192,4
Wooden Bed,F01194,10
Wooden library peon hall deck,F01199,6
Magazine rack,F01200,4
Wooden Luggage Rack,F01201,11
Wooden Podium,F01211,12
Box Type Cabinet,F01216,29
Computer Desk,F01219,318
Sofaset VIP,F01221,17
Wooden Step Stool,F01222,3
Wooden TV Table,F01227,14
Lecture Hall Table,F01228,16
Wooden Wardrobe,F01231,156
Wooden Sound Box Cabinet,F01232,12
Workstation,F01237,114
Experimental Desk,F01240,146
Ladder 25 Steps,F01243,1
